created_at,text
2017-12-01,#NovaScotia teacher using family history to bring #HalifaxExplosion lessons to life https://t.co/EZRMSjk9Hv #Halifax
2017-12-01,"Man found on sidewalk unconscious, with life-threatening injuries in Spryfield https://t.co/cokVxnnoII #halifax"
2017-12-01,"One out of five people don’t know they have HIV, says the executive director of the Canadian AIDS Society. #WorldAIDSDay https://t.co/M0Y6JHaYxC"
2017-12-01,Good news: The economy created nearly 8 times as many new jobs as economists expected https://t.co/D4gJesfg11
2017-12-01,BREAKING: Former national security adviser Michael Flynn is scheduled to plead guilty to making false statements to the FBI https://t.co/v9jSKKjSSz
2017-12-01,"Selena Gomez said as she fought back tears, “To be honest, I think (my best friend) Francia should be getting this award because she saved my life"" https://t.co/sOi3VOeU0r"
2017-12-01,"Prince Harry and Meghan Markle carried out their first official royal duties together Friday! The couple visited a #WorldAIDSDay charity fair in Nottingham
WATCH: https://t.co/LOPOIrHhUu"
2017-12-01,And all of this was just on Twitter alone https://t.co/YMUTAVWi7N
2017-12-01,Forensics on scene of incident on Herring Cove Road in Spryfield https://t.co/WstDe43yS1 #Halifax
2017-12-01,#HappyBirthdayAndrea 🎁 https://t.co/WWiV4wUfDR
2017-12-01,The online edition of #GlobalNewsMorning with @PaulBrothers &amp; @DaveWSquires. https://t.co/z4wiqBkvj8
2017-12-01,"How to preserve your groceries, like a pro. https://t.co/wRDJR18v8V"
2017-12-01,Global News Morning is live in 10 minutes #NewBrunswick. Here's a look at today's top stories in your region this morning: https://t.co/WUGWAShftI
2017-12-01,Want to know if you have an irregular heartbeat? Apple has an app for that. https://t.co/TCBtAFjPr1
2017-12-01,Undocumented immigrant found not guilty in shooting that sparked Trump response. https://t.co/WC2mIZZPrE
2017-12-01,"On April 30, 2019, Emperor Akihito will become first Japanese monarch to abdicate in 200 years. https://t.co/BOaqGllgDZ"
2017-12-01,One Ottawa doctor who could have retired a year ago will be walking away from a half a million dollar salary as the Ottawa Hospital’s chief of staff in order to spend more time taking care of the homeless. https://t.co/aEQ2K8piPL
2017-12-01,".@BetteMidler slammed her accused sexual assaulter, @GeraldoRivera, for calling Matt Lauer a “great guy” after reports of sexual misconduct. https://t.co/ae1FI89GkF"
